"key","en","pl","fr","de"
"SKILL_BEARS_MIGHT_DESC","If unit on the right is defending this phase, it defends for extra defence equal to this characters defence.","Jesli jednostka po prawej broni w tej fazie, jej obrona jest zwiekszona o obrone tej jednostki.","skill_bears_might_fr","Wenn eine Kaempfer in dieser Phase auf der rechten Seite verteidigt wird, erhaelt er einen zusaetzlichen Verteidigungswert, der der Verteidigung dieser Figur entspricht."
"SKILL_BLOOD_RAGE_DESC","Increase damage by 20%.","Zwieksz obrazenia o 20%.","skill_blood_rage_fr","Schaden um 20% erhoehen."
"SKILL_BLUE_42_DESC","Increase *defence* by 10% for every other defender on the team.","Zwieksz obrazenia o 10% za kazdego innego 'defender' w druzynie.",,
"SKILL_CORRUPTION_DESC","Decrease direct opponent's *defense* by 20%.","Zmniejsz obrazenia jednostki na przeciwko o 20%.",,
"SKILL_DEFENCE_RITUAL_DESC","Increase *defence* of all other orcs in the team by 10%.","Zwieksz obrone wszystkich innych orkow w druzynie o 20%.",,
"SKILL_DIRECT_ATTACK_DESC","Direct units on both sides to attack the enemy.","Nakaz jednostka po lewej i prawej atak.",,
"SKILL_DOUBLE_CROSS_DESC","Swap places with the enemy unit with the highest defence.","Zamien sie miejscami z jednostka przecinika, ktora ma najwiecej obrony.",,
"SKILL_ECLIPSE_SENTINEL_DESC","Add 1 stack of vigilance.","Dodaj 1 poziom czujnosci.",,
"SKILL_GHOUL_BITE_DESC","Add 1 stack of poison to enemy team.","Dodaj 1 poziom zatrucia przeciwnikowi.",,
"SKILL_DIRTY_LAUGH_DESC","Rooney's dirty and loud laugh confuses her enemies so much that their next attack hits themselves.","Smiech Rooney'a dezorientuje przeciwnikow przez co w ich nastepnym ataku samookaleczaja sie.",,
"SKILL_GREEN_RANKS_DESC","Add 'orc' tag to the first unit that doesn't have it. Start with enemy team.","Dodaj tag 'orc' pierwszemu przeciwnikowi, ktory go nie ma. Zacznij od druzyny przeciwnika.",,
"SKILL_LOKI_SWAP_DESC","Swap skills of the units with the highest dmg in each team.","Zamien umiejetnosci jednostek z najwyzszym atakiem w kazdej z druzyn.","skill_loki_swap_desc_fr","Tausche die Faehigkeiten der Karten mit dem hoechsten Schaden in jedem Team."
"SKILL_MIMICRY_DESC","Jester Thylocron mimics the last ability used by an enemy.","Uzyj ostatniej umiejetnosci uzytej przez przeciwnika.",,
"SKILL_PAINT_DESC","Paints current phase as active for all units on the battlefield.","Zmien obecna faze na aktywna dla wszystkich jednostek na polu walki.",,
"SKILL_CLEANUP_DESC","Cleans current phase for all units on the battlefield.","Zmien obecna faze na nieaktywna dla wszystkich jednostek na polu walki.",,
"SKILL_SELFCARE_DESC","Turn 50% of this unit's current bonuses into pernament improvements.","Zamien 50% obecnych bonusow tej jednostki na stale ulepszenia.",,
"SKILL_SHAPESHIFT_DESC","Copy looks and attributes of another character. On odd rounds character with the highest attack and on even with the highest defence. If no such character exists, do nothing.","Skopiuj wyglad i statystyki innej postaci. W nieparzystych rundach postaci z najwyzszym atakiem, a w parzystych z najwyzsza obrona.",,
"SKILL_SUB_DEFENCE_DESC","Substitutes the weakest defender in the team with a special defence unit.","Zamien najslabszego obronce w druzynie na specjalnego obronce.",,
"SKILL_TIME_TRAVEL_DESC","If this units offense is higher than defense, increase the round counter by 1, if it's lower, decrease by 1. If they are the same, do nothing.","Jesli atak tej jednostki jest wyzszy niz obrona, przenies w przyszlosc o 1 runde, a jesli nizszy, przeniesc w przeslosc o 1 runde. Jesli atak i obrona sa takie same, nie rob nic.",,
"SKILL_UNIONIZE_DESC","Set the schedule of the n'th unit in both teams to this unit's schedule, where n is the current round number.","Ustaw terminarz ""n"" postaci w obu druzynach na terminarz tej postaci, gdzie ""n"", to obecna runda.",,
"SKILL_WARCRY_DESC","Warcry removes 20% of the dmg from the enemy on the opposite side and grants double that amount as dmg bonus to himself and allies on his both sides.","Zmniejsz dmg jednostki na przeciwko o 20% i dodaj podwojna ilosc tej kwoty jako bonus do obrazenen sobie i sojusznikom po obu stronach tej jednostki.",,
,,,,
"PASSIVE_AUTO_HIVE_DESC","If this team's power is twice smaller than enemy's, whenever enemy unit attacks, all bees and mechs attack him back.","Jesli moc tej druzyny jest dwukrotnie mniejsza niz druzyny przeciwnika, za kazdym razem kiedy jeden z przeciwnikow attakuje, wszystkie 'bees' i 'mechs' kontratakuja.",,
"PASSIVE_CYBERSTRIKE_DESC","If assassin on the right attacks, attack.","Jesli 'assassin' po prawej od tej jednostki atakuje, ta jednostka rowniez atakuje.",,
"PASSIVE_DOUBLE_STRIKE_DESC","This unit attacks twice, but for 50% dmg.","Ta jednostka atakuje dwukrotnie, ale za 50% obrazen.",,
"PASSIVE_JUMP_ATTACK_DESC","This unit after attack jumps right. If jump would not be possible, cancels attack and jumps to the leftmost position.","Ta jednostka skacze w prawo po ataku. Jesli skok nie bylby mozliwy, anuluje atak i skacze do pozycji najbardziej po lewej stronie.",,
"PASSIVE_RETRIBUTION_DESC","On opposite enemy attack, attack back.","Jesli jednostka na przeciwko tej atakuje, kontratakuj.",,
"PASSIVE_SHADOW_STRIKE_DESC","If this unit hasn't attacked in 3 rounds, it's next attack deals triple damage.","Jesli ta jednoska nie atakowala przez 3 rundy, jej kolejny atak zadaje potrojne obrazenia.",,
"PASSIVE_TRICKSTER_DETAINMENT_DESC","Whenever a trickster from the opposite team performs an action other than defend and this unit is on schedule that phase, invalidate that action.","Jesli 'trickster' z przeciwnej druzyny wykonuje jakakolwiek akcje inna niz obrona w obecnym cykly i ta jednoska jest aktywna, anuluj akcje tego 'trickster'a.",,
